county,office,district,party,candidate,votes,,,
Sanborn,U.S. House,1,,Total,865,,,
Shannon,U.S. House,1,,Total,2750,,,
Spink,U.S. House,1,,Total,2518,,,
Stanley,U.S. House,1,,Total,1269,,,
Sully,U.S. House,1,,Total,682,,,
Todd,U.S. House,1,,Total,2161,,,
Tripp,U.S. House,1,,Total,2191,,,
Turner,U.S. House,1,,Total,3267,,,
Union,U.S. House,1,,Total,5096,,,
Walworth,U.S. House,1,,Total,1919,,,
Yankton,U.S. House,1,,Total,7624,,,
Ziebach,U.S. House,1,,Total,630,,,
TOTAL,U.S. House,1,,Total,276319,,,
Aurora,Governor,,,,312,776,51,1139
Beadle,Governor,,,,1433,3974,197,5604
Bennett,Governor,,,,276,606,38,920
Bon Homme,Governor,,,,577,1718,103,2398
Brookings,Governor,,,,2792,6105,327,9224
Brown,Governor,,,,3864,7801,354,12019
Brule,Governor,,,,388,1323,54,1765
Buffalo,Governor,,,,244,188,23,455
Butte,Governor,,,,513,2484,207,3204
Campbell,Governor,,,,82,516,24,622
Charles Mix,Governor,,,,893,2172,114,3179
Clark,Governor,,,,324,1140,67,1531
Clay,Governor,,,,1372,2124,260,3756
Codington,Governor,,,,2158,6656,295,9109
Corson,Governor,,,,363,491,56,910
Custer,Governor,,,,780,2735,195,3710
Davison,Governor,,,,1255,4590,203,6048
Day,Governor,,,,1065,1256,83,2404
Deuel,Governor,,,,484,1203,75,1762
Dewey,Governor,,,,666,721,69,1456
Douglas,Governor,,,,171,1121,30,1322
Edmunds,Governor,,,,380,1288,46,1714
Fall River,Governor,,,,609,2125,179,2913
Faulk,Governor,,,,157,712,23,892
Grant,Governor,,,,827,1981,87,2895
Gregory,Governor,,,,366,1369,72,1807
Haakon,Governor,,,,72,774,20,866
Hamlin,Governor,,,,472,1670,90,2232
Hand,Governor,,,,290,1172,32,1494
Hanson,Governor,,,,280,1005,54,1339
Harding,Governor,,,,47,517,46,610
Hughes,Governor,,,,1113,5688,156,6957
Hutchinson,Governor,,,,466,2215,86,2767
Hyde,Governor,,,,111,479,13,603
Jackson,Governor,,,,233,616,57,906
Jerauld,Governor,,,,197,627,16,840
Jones,Governor,,,,60,390,13,463
Kingsbury,Governor,,,,568,1480,65,2113
Lake,Governor,,,,1205,3493,172,4870
Lawrence,Governor,,,,2000,6434,462,8896
Lincoln,Governor,,,,3513,12768,589,16870
Lyman,Governor,,,,318,863,56,1237
Marshall,Governor,,,,970,760,33,1763
McCook,Governor,,,,462,1522,73,2057
McPherson,Governor,,,,160,848,20,1028
Meade,Governor,,,,1373,6503,432,8308
Mellette,Governor,,,,224,424,33,681
Miner,Governor,,,,224,621,31,876
Minnehaha,Governor,,,,14716,37228,2320,54264
Moody,Governor,,,,638,1658,97,2393
Pennington,Governor,,,,7551,24340,1564,33455
Perkins,Governor,,,,184,1066,77,1327
Potter,Governor,,,,170,973,23,1166
Roberts,Governor,,,,1346,1787,86,3219
Sanborn,Governor,,,,203,634,28,865
Shannon,Governor,,,,1875,590,206,2671
Spink,Governor,,,,650,1812,72,2534
Stanley,Governor,,,,208,1042,42,1292
Sully,Governor,,,,96,565,20,681
Todd,Governor,,,,1354,658,132,2144
Tripp,Governor,,,,348,1793,52,2193
Turner,Governor,,,,713,2373,211,3297
Union,Governor,,,,1092,3754,255,5101
Walworth,Governor,,,,370,1493,52,1915
Yankton,Governor,,,,2088,5310,326,7724
Ziebach,Governor,,,,238,357,33,628
TOTAL,Governor,,,,70549,195477,11377,277403
