votes,district,candidate,office,county,party,precinct
Moody,1,Commissioner of School and Public Lands,,DEM,Woody Hauser,277
Moody,2,Commissioner of School and Public Lands,,DEM,Woody Hauser,275
Moody,3,Commissioner of School and Public Lands,,DEM,Woody Hauser,158
Moody,34,Commissioner of School and Public Lands,,DEM,Woody Hauser,112
Moody,4,Commissioner of School and Public Lands,,DEM,Woody Hauser,114
Moody,5,Commissioner of School and Public Lands,,DEM,Woody Hauser,183
Moody,1,Public Utilities Commissioner,,REP,Kristie Fiegen,217
Moody,2,Public Utilities Commissioner,,REP,Kristie Fiegen,218
Moody,3,Public Utilities Commissioner,,REP,Kristie Fiegen,352
Moody,34,Public Utilities Commissioner,,REP,Kristie Fiegen,214
Moody,4,Public Utilities Commissioner,,REP,Kristie Fiegen,235
Moody,5,Public Utilities Commissioner,,REP,Kristie Fiegen,435
Moody,1,Public Utilities Commissioner,,DEM,Wayne Frederick,264
Moody,2,Public Utilities Commissioner,,DEM,Wayne Frederick,255
Moody,3,Public Utilities Commissioner,,DEM,Wayne Frederick,131
Moody,34,Public Utilities Commissioner,,DEM,Wayne Frederick,94
Moody,4,Public Utilities Commissioner,,DEM,Wayne Frederick,95
Moody,5,Public Utilities Commissioner,,DEM,Wayne Frederick,160
Moody,1,State Senate,8,REP,Jordan Youngberg,186
Moody,2,State Senate,8,REP,Jordan Youngberg,157
Moody,3,State Senate,8,REP,Jordan Youngberg,310
Moody,34,State Senate,8,REP,Jordan Youngberg,173
Moody,4,State Senate,8,REP,Jordan Youngberg,207
Moody,5,State Senate,8,REP,Jordan Youngberg,385
Moody,1,State Senate,8,DEM,Scott Parsley,324
Moody,2,State Senate,8,DEM,Scott Parsley,337
Moody,3,State Senate,8,DEM,Scott Parsley,190
Moody,34,State Senate,8,DEM,Scott Parsley,148
Moody,4,State Senate,8,DEM,Scott Parsley,133
Moody,5,State Senate,8,DEM,Scott Parsley,235
Moody,1,State House,8,REP,Marli Wiese,164
Moody,2,State House,8,REP,Marli Wiese,163
Moody,3,State House,8,REP,Marli Wiese,287
Moody,34,State House,8,REP,Marli Wiese,165
Moody,4,State House,8,REP,Marli Wiese,195
Moody,5,State House,8,REP,Marli Wiese,383
Moody,1,State House,8,REP,Randy Gross,199
Moody,2,State House,8,REP,Randy Gross,159
Moody,3,State House,8,REP,Randy Gross,308
Moody,34,State House,8,REP,Randy Gross,200
Moody,4,State House,8,REP,Randy Gross,205
Moody,5,State House,8,REP,Randy Gross,395
Moody,1,State House,8,DEM,Chris Francis,145
Moody,2,State House,8,DEM,Chris Francis,151
Moody,3,State House,8,DEM,Chris Francis,102
Moody,34,State House,8,DEM,Chris Francis,63
Moody,4,State House,8,DEM,Chris Francis,59
Moody,5,State House,8,DEM,Chris Francis,122
Moody,1,State House,8,DEM,Jason Unger,342
Moody,2,State House,8,DEM,Jason Unger,330
Moody,3,State House,8,DEM,Jason Unger,185
Moody,34,State House,8,DEM,Jason Unger,150
Moody,4,State House,8,DEM,Jason Unger,130
Moody,5,State House,8,DEM,Jason Unger,209
