county,precinct,office,district,party,candidate,votes,,,
Miner,Precinct-3,Governor,,LIB,Kurt Evans,0,,,
Miner,Precinct-4,Governor,,LIB,Kurt Evans,3,,,
Miner,Precinct-5,Governor,,LIB,Kurt Evans,0,,,
Miner,Precinct-6,Governor,,LIB,Kurt Evans,1,,,
Miner,Precinct-7,Governor,,LIB,Kurt Evans,2,,,
Miner,Precinct-8,Governor,,LIB,Kurt Evans,4,,,
Miner,Precinct-1,Governor,,REP,Kristi Noem,63,,,
Miner,Precinct-2,Governor,,REP,Kristi Noem,47,,,
Miner,Precinct-3,Governor,,REP,Kristi Noem,50,,,
Miner,Precinct-4,Governor,,REP,Kristi Noem,63,,,
Miner,Precinct-5,Governor,,REP,Kristi Noem,42,,,
Miner,Precinct-6,Governor,,REP,Kristi Noem,103,,,
Miner,Precinct-7,Governor,,REP,Kristi Noem,85,,,
Miner,Precinct-8,Governor,,REP,Kristi Noem,70,,,
Miner,Precinct-1,Governor,,DEM,Billie Sutton,73,,,
Miner,Precinct-2,Governor,,DEM,Billie Sutton,80,,,
Miner,Precinct-3,Governor,,DEM,Billie Sutton,62,,,
Miner,Precinct-4,Governor,,DEM,Billie Sutton,81,,,
Miner,Precinct-5,Governor,,DEM,Billie Sutton,39,,,
Miner,Precinct-6,Governor,,DEM,Billie Sutton,84,,,
Miner,Precinct-7,Governor,,DEM,Billie Sutton,113,,,
Miner,Precinct-8,Governor,,DEM,Billie Sutton,38,,,
Miner,Precinct-1,Secretary of State,,REP,Steve Barnett,76,,,
Miner,Precinct-2,Secretary of State,,REP,Steve Barnett,69,,,
Miner,Precinct-3,Secretary of State,,REP,Steve Barnett,64,,,
Miner,Precinct-4,Secretary of State,,REP,Steve Barnett,78,,,
Miner,Precinct-5,Secretary of State,,REP,Steve Barnett,56,,,
Miner,Precinct-6,Secretary of State,,REP,Steve Barnett,120,,,
Miner,Precinct-7,Secretary of State,,REP,Steve Barnett,124,,,
Miner,Precinct-8,Secretary of State,,REP,Steve Barnett,77,,,
Miner,Precinct-1,Secretary of State,,DEM,Alexandra Frederick,53,,,
Miner,Precinct-2,Secretary of State,,DEM,Alexandra Frederick,46,,,
Miner,Precinct-3,Secretary of State,,DEM,Alexandra Frederick,37,,,
Miner,Precinct-4,Secretary of State,,DEM,Alexandra Frederick,47,,,
Miner,Precinct-5,Secretary of State,,DEM,Alexandra Frederick,20,,,
Miner,Precinct-6,Secretary of State,,DEM,Alexandra Frederick,52,,,
Miner,Precinct-7,Secretary of State,,DEM,Alexandra Frederick,51,,,
Miner,Precinct-8,Secretary of State,,DEM,Alexandra Frederick,32,,,
Miner,Precinct-1,Attorney General,,REP,Jason Ravnsborg,61,,,
Miner,Precinct-2,Attorney General,,REP,Jason Ravnsborg,55,,,
Miner,Precinct-3,Attorney General,,REP,Jason Ravnsborg,52,,,
Miner,Precinct-4,Attorney General,,REP,Jason Ravnsborg,69,,,
Miner,Precinct-5,Attorney General,,REP,Jason Ravnsborg,41,,,
Miner,Precinct-6,Attorney General,,REP,Jason Ravnsborg,106,,,
Miner,Precinct-7,Attorney General,,REP,Jason Ravnsborg,109,,,
Miner,Precinct-8,Attorney General,,REP,Jason Ravnsborg,76,,,
Miner,Precinct-1,Attorney General,,DEM,Randy Seller,69,,,
Miner,Precinct-2,Attorney General,,DEM,Randy Seller,64,,,
Miner,Precinct-3,Attorney General,,DEM,Randy Seller,49,,,
Miner,Precinct-4,Attorney General,,DEM,Randy Seller,61,,,
Miner,Precinct-5,Attorney General,,DEM,Randy Seller,36,,,
Miner,Precinct-6,Attorney General,,DEM,Randy Seller,69,,,
Miner,Precinct-7,Attorney General,,DEM,Randy Seller,75,,,
Miner,Precinct-8,Attorney General,,DEM,Randy Seller,34,,,
Miner,Precinct-1,State Auditor,,REP,Rich Sattgast,72,,,
Miner,Precinct-2,State Auditor,,REP,Rich Sattgast,66,,,
Miner,Precinct-3,State Auditor,,REP,Rich Sattgast,64,,,
Miner,Precinct-4,State Auditor,,REP,Rich Sattgast,68,,,
Miner,Precinct-5,State Auditor,,REP,Rich Sattgast,53,,,
Miner,Precinct-6,State Auditor,,REP,Rich Sattgast,123,,,
Miner,Precinct-7,State Auditor,,REP,Rich Sattgast,111,,,
Miner,Precinct-8,State Auditor,,REP,Rich Sattgast,83,,,
Miner,Precinct-1,State Auditor,,DEM,Tom Cool,55,,,
Miner,Precinct-2,State Auditor,,DEM,Tom Cool,48,,,
Miner,Precinct-3,State Auditor,,DEM,Tom Cool,33,,,
Miner,Precinct-4,State Auditor,,DEM,Tom Cool,43,,,
Miner,Precinct-5,State Auditor,,DEM,Tom Cool,19,,,
Miner,Precinct-6,State Auditor,,DEM,Tom Cool,47,,,
Miner,Precinct-7,State Auditor,,DEM,Tom Cool,59,,,
Miner,Precinct-8,State Auditor,,DEM,Tom Cool,24,,,
Miner,Precinct-1,State Treasurer,,REP,Josh Haeder,72,,,
Miner,Precinct-2,State Treasurer,,REP,Josh Haeder,59,,,
Miner,Precinct-3,State Treasurer,,REP,Josh Haeder,59,,,
Miner,Precinct-4,State Treasurer,,REP,Josh Haeder,66,,,
Miner,Precinct-5,State Treasurer,,REP,Josh Haeder,42,,,
Miner,Precinct-6,State Treasurer,,REP,Josh Haeder,109,,,
Miner,Precinct-7,State Treasurer,,REP,Josh Haeder,106,,,
Miner,Precinct-8,State Treasurer,,REP,Josh Haeder,74,,,
Miner,Precinct-1,State Treasurer,,DEM,Aaron Matson,53,,,
Miner,Precinct-2,State Treasurer,,DEM,Aaron Matson,52,,,
Miner,Precinct-3,State Treasurer,,DEM,Aaron Matson,34,,,
Miner,Precinct-4,State Treasurer,,DEM,Aaron Matson,47,,,
Miner,Precinct-5,State Treasurer,,DEM,Aaron Matson,28,,,
Miner,Precinct-6,State Treasurer,,DEM,Aaron Matson,53,,,
Miner,Precinct-7,State Treasurer,,DEM,Aaron Matson,60,,,
Miner,Precinct-8,State Treasurer,,DEM,Aaron Matson,27,,,
Miner,Precinct-1,Commissioner of School and Public Lands,,REP,Ryan Brunner,67,,,
Miner,Precinct-2,Commissioner of School and Public Lands,,REP,Ryan Brunner,63,,,
Miner,Precinct-3,Commissioner of School and Public Lands,,REP,Ryan Brunner,61,,,
Miner,Precinct-4,Commissioner of School and Public Lands,,REP,Ryan Brunner,67,,,
Miner,Precinct-5,Commissioner of School and Public Lands,,REP,Ryan Brunner,50,,,
Miner,Precinct-6,Commissioner of School and Public Lands,,REP,Ryan Brunner,109,,,
Miner,Precinct-7,Commissioner of School and Public Lands,,REP,Ryan Brunner,104,,,
Miner,Precinct-8,Commissioner of School and Public Lands,,REP,Ryan Brunner,73,,,
Miner,Precinct-1,Commissioner of School and Public Lands,,DEM,Woody Houser,52,,,
Miner,Precinct-2,Commissioner of School and Public Lands,,DEM,Woody Houser,48,,,
Miner,Precinct-3,Commissioner of School and Public Lands,,DEM,Woody Houser,32,,,
Miner,Precinct-4,Commissioner of School and Public Lands,,DEM,Woody Houser,46,,,
Miner,Precinct-5,Commissioner of School and Public Lands,,DEM,Woody Houser,21,,,
Miner,Precinct-6,Commissioner of School and Public Lands,,DEM,Woody Houser,55,,,
Miner,Precinct-7,Commissioner of School and Public Lands,,DEM,Woody Houser,66,,,
Miner,Precinct-8,Commissioner of School and Public Lands,,DEM,Woody Houser,29,,,
Miner,Precinct-1,Public Utilities Commissioner,,REP,Kristie Fiegen,76,,,
Miner,Precinct-2,Public Utilities Commissioner,,REP,Kristie Fiegen,75,,,
Miner,Precinct-3,Public Utilities Commissioner,,REP,Kristie Fiegen,69,,,
Miner,Precinct-4,Public Utilities Commissioner,,REP,Kristie Fiegen,86,,,
Miner,Precinct-5,Public Utilities Commissioner,,REP,Kristie Fiegen,56,,,
Miner,Precinct-6,Public Utilities Commissioner,,REP,Kristie Fiegen,120,,,
Miner,Precinct-7,Public Utilities Commissioner,,REP,Kristie Fiegen,131,,,
Miner,Precinct-8,Public Utilities Commissioner,,REP,Kristie Fiegen,78,,,
Miner,Precinct-1,Public Utilities Commissioner,,DEM,Wayne Frederick,49,,,
Miner,Precinct-2,Public Utilities Commissioner,,DEM,Wayne Frederick,43,,,
Miner,Precinct-3,Public Utilities Commissioner,,DEM,Wayne Frederick,34,,,
Miner,Precinct-4,Public Utilities Commissioner,,DEM,Wayne Frederick,39,,,
Miner,Precinct-5,Public Utilities Commissioner,,DEM,Wayne Frederick,17,,,
Miner,Precinct-6,Public Utilities Commissioner,,DEM,Wayne Frederick,49,,,
Miner,Precinct-7,Public Utilities Commissioner,,DEM,Wayne Frederick,47,,,
Miner,Precinct-8,Public Utilities Commissioner,,DEM,Wayne Frederick,28,,,
Miner,Precinct-1,State Senate,8,REP,Jordan Youngbert,64,,,
Miner,Precinct-2,State Senate,8,REP,Jordan Youngbert,62,,,
Miner,Precinct-3,State Senate,8,REP,Jordan Youngbert,52,,,
Miner,Precinct-4,State Senate,8,REP,Jordan Youngbert,63,,,
Miner,Precinct-5,State Senate,8,REP,Jordan Youngbert,52,,,
Miner,Precinct-6,State Senate,8,REP,Jordan Youngbert,113,,,
Miner,Precinct-7,State Senate,8,REP,Jordan Youngbert,106,,,
Miner,Precinct-8,State Senate,8,REP,Jordan Youngbert,73,,,
Miner,Precinct-1,State Senate,8,DEM,Scott Parsley,68,,,
Miner,Precinct-2,State Senate,8,DEM,Scott Parsley,67,,,
Miner,Precinct-3,State Senate,8,DEM,Scott Parsley,56,,,
Miner,Precinct-4,State Senate,8,DEM,Scott Parsley,79,,,
Miner,Precinct-5,State Senate,8,DEM,Scott Parsley,27,,,
Miner,Precinct-6,State Senate,8,DEM,Scott Parsley,72,,,
Miner,Precinct-7,State Senate,8,DEM,Scott Parsley,87,,,
Miner,Precinct-8,State Senate,8,DEM,Scott Parsley,38,,,
Miner,Precinct-1,State House,8,REP,Marli Wiese,73,,,
Miner,Precinct-2,State House,8,REP,Marli Wiese,69,,,
Miner,Precinct-3,State House,8,REP,Marli Wiese,63,,,
Miner,Precinct-4,State House,8,REP,Marli Wiese,81,,,
Miner,Precinct-5,State House,8,REP,Marli Wiese,48,,,
Miner,Precinct-6,State House,8,REP,Marli Wiese,125,,,
Miner,Precinct-7,State House,8,REP,Marli Wiese,115,,,
Miner,Precinct-8,State House,8,REP,Marli Wiese,73,,,
Miner,Precinct-1,State House,8,REP,Randy Gross,61,,,
Miner,Precinct-2,State House,8,REP,Randy Gross,53,,,
Miner,Precinct-3,State House,8,REP,Randy Gross,49,,,
Miner,Precinct-4,State House,8,REP,Randy Gross,72,,,
Miner,Precinct-5,State House,8,REP,Randy Gross,36,,,
Miner,Precinct-6,State House,8,REP,Randy Gross,97,,,
Miner,Precinct-7,State House,8,REP,Randy Gross,93,,,
Miner,Precinct-8,State House,8,REP,Randy Gross,71,,,
Miner,Precinct-1,State House,8,DEM,Chris Francis,41,,,
Miner,Precinct-2,State House,8,DEM,Chris Francis,36,,,
Miner,Precinct-3,State House,8,DEM,Chris Francis,23,,,
Miner,Precinct-4,State House,8,DEM,Chris Francis,37,,,
Miner,Precinct-5,State House,8,DEM,Chris Francis,15,,,
Miner,Precinct-6,State House,8,DEM,Chris Francis,34,,,
Miner,Precinct-7,State House,8,DEM,Chris Francis,36,,,
Miner,Precinct-8,State House,8,DEM,Chris Francis,20,,,
Miner,Precinct-1,State House,8,DEM,Jason Unger,55,,,
Miner,Precinct-2,State House,8,DEM,Jason Unger,50,,,
Miner,Precinct-3,State House,8,DEM,Jason Unger,44,,,
Miner,Precinct-4,State House,8,DEM,Jason Unger,53,,,
Miner,Precinct-5,State House,8,DEM,Jason Unger,26,,,
Miner,Precinct-6,State House,8,DEM,Jason Unger,62,,,
Miner,Precinct-7,State House,8,DEM,Jason Unger,67,,,
Miner,Precinct-8,State House,8,DEM,Jason Unger,31,,,
