county,precinct,office,district,party,candidate,votes,,,,
Ziebach,Precinct-1 Bridger,Governor,,LIB,Kurt Evans,2,,,,
Ziebach,Precinct-2 Cherry Creek,Governor,,LIB,Kurt Evans,3,,,,
Ziebach,Precinct-3 Davis,Governor,,LIB,Kurt Evans,0,,,,
Ziebach,Precinct-4 Glad Valley,Governor,,LIB,Kurt Evans,0,,,,
Ziebach,"Precinct-5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree",Governor,,LIB,Kurt Evans,3,,,,
Ziebach,Precinct-7 Red Scaffold,Governor,,LIB,Kurt Evans,1,,,,
Ziebach,Precinct-1 Bridger,Governor,,REP,Kristi Noem,5,,,,
Ziebach,Precinct-2 Cherry Creek,Governor,,REP,Kristi Noem,11,,,,
Ziebach,Precinct-3 Davis,Governor,,REP,Kristi Noem,45,,,,
Ziebach,Precinct-4 Glad Valley,Governor,,REP,Kristi Noem,27,,,,
Ziebach,"Precinct-5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree",Governor,,REP,Kristi Noem,144,,,,
Ziebach,Precinct-7 Red Scaffold,Governor,,REP,Kristi Noem,9,,,,
Ziebach,Precinct-1 Bridger,Governor,,DEM,Billie Sutton,31,,,,
Ziebach,Precinct-2 Cherry Creek,Governor,,DEM,Billie Sutton,61,,,,
Ziebach,Precinct-3 Davis,Governor,,DEM,Billie Sutton,184,,,,
Ziebach,Precinct-4 Glad Valley,Governor,,DEM,Billie Sutton,34,,,,
Ziebach,"Precinct-5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree",Governor,,DEM,Billie Sutton,210,,,,
Ziebach,Precinct-7 Red Scaffold,Governor,,DEM,Billie Sutton,52,,,,
Ziebach,Precinct-1 Bridger,Secretary of State,,REP,Steve Barnett,10,,,,
Ziebach,Precinct-2 Cherry Creek,Secretary of State,,REP,Steve Barnett,8,,,,
Ziebach,Precinct-3 Davis,Secretary of State,,REP,Steve Barnett,72,,,,
Ziebach,Precinct-4 Glad Valley,Secretary of State,,REP,Steve Barnett,49,,,,
Ziebach,"Precinct-5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree",Secretary of State,,REP,Steve Barnett,183,,,,
Ziebach,Precinct-7 Red Scaffold,Secretary of State,,REP,Steve Barnett,16,,,,
Ziebach,Precinct-1 Bridger,Secretary of State,,DEM,Alexandra Frederick,27,,,,
Ziebach,Precinct-2 Cherry Creek,Secretary of State,,DEM,Alexandra Frederick,63,,,,
Ziebach,Precinct-3 Davis,Secretary of State,,DEM,Alexandra Frederick,145,,,,
Ziebach,Precinct-4 Glad Valley,Secretary of State,,DEM,Alexandra Frederick,12,,,,
Ziebach,"Precinct-5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree",Secretary of State,,DEM,Alexandra Frederick,153,,,,
Ziebach,Precinct-7 Red Scaffold,Secretary of State,,DEM,Alexandra Frederick,40,,,,
Ziebach,Precinct-1 Bridger,Attorney General,,REP,Jason Ravnsborg,7,,,,
Ziebach,Precinct-2 Cherry Creek,Attorney General,,REP,Jason Ravnsborg,10,,,,
Ziebach,Precinct-3 Davis,Attorney General,,REP,Jason Ravnsborg,49,,,,
Ziebach,Precinct-4 Glad Valley,Attorney General,,REP,Jason Ravnsborg,33,,,,
Ziebach,"Precinct-5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree",Attorney General,,REP,Jason Ravnsborg,155,,,,
Ziebach,Precinct-7 Red Scaffold,Attorney General,,REP,Jason Ravnsborg,15,,,,
Ziebach,Precinct-1 Bridger,Attorney General,,DEM,Randy Seller,30,,,,
Ziebach,Precinct-2 Cherry Creek,Attorney General,,DEM,Randy Seller,61,,,,
Ziebach,Precinct-3 Davis,Attorney General,,DEM,Randy Seller,172,,,,
Ziebach,Precinct-4 Glad Valley,Attorney General,,DEM,Randy Seller,28,,,,
Ziebach,"Precinct-5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree",Attorney General,,DEM,Randy Seller,194,,,,
Ziebach,Precinct-7 Red Scaffold,Attorney General,,DEM,Randy Seller,43,,,,
Ziebach,Precinct-1 Bridger,State Auditor,,REP,Rich Sattgast,8,,,,
Ziebach,Precinct-2 Cherry Creek,State Auditor,,REP,Rich Sattgast,14,,,,
Ziebach,Precinct-3 Davis,State Auditor,,REP,Rich Sattgast,66,,,,
Ziebach,Precinct-4 Glad Valley,State Auditor,,REP,Rich Sattgast,43,,,,
Ziebach,"Precinct-5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree",State Auditor,,REP,Rich Sattgast,183,,,,
Ziebach,Precinct-7 Red Scaffold,State Auditor,,REP,Rich Sattgast,17,,,,
Ziebach,Precinct-1 Bridger,State Auditor,,DEM,Tom Cool,30,,,,
Ziebach,Precinct-2 Cherry Creek,State Auditor,,DEM,Tom Cool,59,,,,
Ziebach,Precinct-3 Davis,State Auditor,,DEM,Tom Cool,150,,,,
Ziebach,Precinct-4 Glad Valley,State Auditor,,DEM,Tom Cool,15,,,,
Ziebach,"Precinct-5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree",State Auditor,,DEM,Tom Cool,153,,,,
Ziebach,Precinct-7 Red Scaffold,State Auditor,,DEM,Tom Cool,39,,,,
Ziebach,Precinct-1 Bridger,State Treasurer,,REP,Josh Haeder,8,,,,
Ziebach,Precinct-2 Cherry Creek,State Treasurer,,REP,Josh Haeder,14,,,,
Ziebach,Precinct-3 Davis,State Treasurer,,REP,Josh Haeder,62,,,,
Ziebach,Precinct-4 Glad Valley,State Treasurer,,REP,Josh Haeder,41,,,,
Ziebach,"Precinct-5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree",State Treasurer,,REP,Josh Haeder,172,,,,
Ziebach,Precinct-7 Red Scaffold,State Treasurer,,REP,Josh Haeder,13,,,,
Ziebach,Precinct-1 Bridger,State Treasurer,,DEM,Aaron Matson,30,,,,
Ziebach,Precinct-2 Cherry Creek,State Treasurer,,DEM,Aaron Matson,57,,,,
Ziebach,Precinct-3 Davis,State Treasurer,,DEM,Aaron Matson,152,,,,
Ziebach,Precinct-4 Glad Valley,State Treasurer,,DEM,Aaron Matson,17,,,,
Ziebach,"Precinct-5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree",State Treasurer,,DEM,Aaron Matson,162,,,,
Ziebach,Precinct-7 Red Scaffold,State Treasurer,,DEM,Aaron Matson,44,,,,
Ziebach,Precinct-1 Bridger,Commissioner of School and Public Lands,,REP,Ryan Brunner,8,,,,
Ziebach,Precinct-2 Cherry Creek,Commissioner of School and Public Lands,,REP,Ryan Brunner,13,,,,
Ziebach,Precinct-3 Davis,Commissioner of School and Public Lands,,REP,Ryan Brunner,63,,,,
Ziebach,Precinct-4 Glad Valley,Commissioner of School and Public Lands,,REP,Ryan Brunner,40,,,,
Ziebach,"Precinct-5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree",Commissioner of School and Public Lands,,REP,Ryan Brunner,178,,,,
Ziebach,Precinct-7 Red Scaffold,Commissioner of School and Public Lands,,REP,Ryan Brunner,14,,,,
Ziebach,Precinct-1 Bridger,Commissioner of School and Public Lands,,DEM,Woody Houser,28,,,,
Ziebach,Precinct-2 Cherry Creek,Commissioner of School and Public Lands,,DEM,Woody Houser,62,,,,
Ziebach,Precinct-3 Davis,Commissioner of School and Public Lands,,DEM,Woody Houser,150,,,,
Ziebach,Precinct-4 Glad Valley,Commissioner of School and Public Lands,,DEM,Woody Houser,17,,,,
Ziebach,"Precinct-5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree",Commissioner of School and Public Lands,,DEM,Woody Houser,145,,,,
Ziebach,Precinct-7 Red Scaffold,Commissioner of School and Public Lands,,DEM,Woody Houser,43,,,,
Ziebach,Precinct-1 Bridger,Public Utilities Commissioner,,REP,Kristie Fiegen,8,,,,
Ziebach,Precinct-2 Cherry Creek,Public Utilities Commissioner,,REP,Kristie Fiegen,12,,,,
Ziebach,Precinct-3 Davis,Public Utilities Commissioner,,REP,Kristie Fiegen,68,,,,
Ziebach,Precinct-4 Glad Valley,Public Utilities Commissioner,,REP,Kristie Fiegen,46,,,,
Ziebach,"Precinct-5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree",Public Utilities Commissioner,,REP,Kristie Fiegen,183,,,,
Ziebach,Precinct-7 Red Scaffold,Public Utilities Commissioner,,REP,Kristie Fiegen,14,,,,
Ziebach,Precinct-1 Bridger,Public Utilities Commissioner,,DEM,Wayne Frederick,29,,,,
Ziebach,Precinct-2 Cherry Creek,Public Utilities Commissioner,,DEM,Wayne Frederick,59,,,,
Ziebach,Precinct-3 Davis,Public Utilities Commissioner,,DEM,Wayne Frederick,148,,,,
Ziebach,Precinct-4 Glad Valley,Public Utilities Commissioner,,DEM,Wayne Frederick,15,,,,
Ziebach,"Precinct-5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree",Public Utilities Commissioner,,DEM,Wayne Frederick,146,,,,
Ziebach,Precinct-7 Red Scaffold,Public Utilities Commissioner,,DEM,Wayne Frederick,43,,,,
Ziebach,Precinct-1 Bridger,State Senate,28,REP,Ryan Maher,8,,,,
Ziebach,Precinct-2 Cherry Creek,State Senate,28,REP,Ryan Maher,14,,,,
Ziebach,Precinct-3 Davis,State Senate,28,REP,Ryan Maher,80,,,,
Ziebach,Precinct-4 Glad Valley,State Senate,28,REP,Ryan Maher,47,,,,
Ziebach,"Precinct-5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree",State Senate,28,REP,Ryan Maher,238,,,,
Ziebach,Precinct-7 Red Scaffold,State Senate,28,REP,Ryan Maher,27,,,,
Ziebach,Precinct-1 Bridger,State Senate,28A,DEM,Alli Moran,30,,,,
Ziebach,Precinct-2 Cherry Creek,State Senate,28A,DEM,Alli Moran,60,,,,
Ziebach,Precinct-3 Davis,State Senate,28A,DEM,Alli Moran,145,,,,
Ziebach,Precinct-4 Glad Valley,State Senate,28A,DEM,Alli Moran,12,,,,
Ziebach,"Precinct-5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree",State Senate,28A,DEM,Alli Moran,117,,,,
Ziebach,Precinct-7 Red Scaffold,State Senate,28A,DEM,Alli Moran,36,,,,
Ziebach,Precinct-1 Bridger,State House,28A,DEM,Oren Lesmeister,33,,,,
Ziebach,Precinct-2 Cherry Creek,State House,28A,DEM,Oren Lesmeister,69,,,,
Ziebach,Precinct-3 Davis,State House,28A,DEM,Oren Lesmeister,182,,,,
Ziebach,Precinct-4 Glad Valley,State House,28A,DEM,Oren Lesmeister,32,,,,
Ziebach,"Precinct-5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree",State House,28A,DEM,Oren Lesmeister,236,,,,
Ziebach,Precinct-7 Red Scaffold,State House,28A,DEM,Oren Lesmeister,44,,,,
