votes,district,candidate,office,county,party,precinct
Haakon,17,Secretary of State,,REP,Steve Barnett,158
Haakon,19,Secretary of State,,REP,Steve Barnett,158
Haakon,20,Secretary of State,,REP,Steve Barnett,152
Haakon,1,Secretary of State,,DEM,Alexandra Frederick,8
Haakon,4,Secretary of State,,DEM,Alexandra Frederick,8
Haakon,16,Secretary of State,,DEM,Alexandra Frederick,21
Haakon,17,Secretary of State,,DEM,Alexandra Frederick,20
Haakon,19,Secretary of State,,DEM,Alexandra Frederick,24
Haakon,20,Secretary of State,,DEM,Alexandra Frederick,13
Haakon,1,Attorney General,,REP,Jason Ravnsborg,74
Haakon,4,Attorney General,,REP,Jason Ravnsborg,107
Haakon,16,Attorney General,,REP,Jason Ravnsborg,146
Haakon,17,Attorney General,,REP,Jason Ravnsborg,137
Haakon,19,Attorney General,,REP,Jason Ravnsborg,141
Haakon,20,Attorney General,,REP,Jason Ravnsborg,137
Haakon,1,Attorney General,,DEM,Randy Seiler,16
Haakon,4,Attorney General,,DEM,Randy Seiler,17
Haakon,16,Attorney General,,DEM,Randy Seiler,30
Haakon,17,Attorney General,,DEM,Randy Seiler,39
Haakon,19,Attorney General,,DEM,Randy Seiler,45
Haakon,20,Attorney General,,DEM,Randy Seiler,29
Haakon,1,State Auditor,,REP,Rich Sattgast,73
Haakon,4,State Auditor,,REP,Rich Sattgast,114
Haakon,16,State Auditor,,REP,Rich Sattgast,159
Haakon,17,State Auditor,,REP,Rich Sattgast,148
Haakon,19,State Auditor,,REP,Rich Sattgast,154
Haakon,20,State Auditor,,REP,Rich Sattgast,144
Haakon,1,State Auditor,,DEM,Tom Cool,14
Haakon,4,State Auditor,,DEM,Tom Cool,7
Haakon,16,State Auditor,,DEM,Tom Cool,18
Haakon,17,State Auditor,,DEM,Tom Cool,24
Haakon,19,State Auditor,,DEM,Tom Cool,26
Haakon,20,State Auditor,,DEM,Tom Cool,19
Haakon,1,State Treasurer,,REP,Josh Haeder,78
Haakon,4,State Treasurer,,REP,Josh Haeder,114
Haakon,16,State Treasurer,,REP,Josh Haeder,155
Haakon,17,State Treasurer,,REP,Josh Haeder,146
Haakon,19,State Treasurer,,REP,Josh Haeder,151
Haakon,20,State Treasurer,,REP,Josh Haeder,142
Haakon,1,State Treasurer,,DEM,Aaron Matson,10
Haakon,4,State Treasurer,,DEM,Aaron Matson,8
Haakon,16,State Treasurer,,DEM,Aaron Matson,19
Haakon,17,State Treasurer,,DEM,Aaron Matson,26
Haakon,19,State Treasurer,,DEM,Aaron Matson,29
Haakon,20,State Treasurer,,DEM,Aaron Matson,18
Haakon,1,Commissioner of School and Public Lands,,REP,Ryan Brunner,82
Haakon,4,Commissioner of School and Public Lands,,REP,Ryan Brunner,114
Haakon,16,Commissioner of School and Public Lands,,REP,Ryan Brunner,156
Haakon,17,Commissioner of School and Public Lands,,REP,Ryan Brunner,148
Haakon,19,Commissioner of School and Public Lands,,REP,Ryan Brunner,156
Haakon,20,Commissioner of School and Public Lands,,REP,Ryan Brunner,148
Haakon,1,Commissioner of School and Public Lands,,DEM,Woody Hauser,6
Haakon,4,Commissioner of School and Public Lands,,DEM,Woody Hauser,7
Haakon,16,Commissioner of School and Public Lands,,DEM,Woody Hauser,19
Haakon,17,Commissioner of School and Public Lands,,DEM,Woody Hauser,21
Haakon,19,Commissioner of School and Public Lands,,DEM,Woody Hauser,28
Haakon,20,Commissioner of School and Public Lands,,DEM,Woody Hauser,11
Haakon,1,Public Utilities Commissioner,,REP,Kristie Fiegen,79
Haakon,4,Public Utilities Commissioner,,REP,Kristie Fiegen,113
Haakon,16,Public Utilities Commissioner,,REP,Kristie Fiegen,152
Haakon,17,Public Utilities Commissioner,,REP,Kristie Fiegen,147
Haakon,19,Public Utilities Commissioner,,REP,Kristie Fiegen,155
Haakon,20,Public Utilities Commissioner,,REP,Kristie Fiegen,142
Haakon,1,Public Utilities Commissioner,,DEM,Wayne Frederick,7
Haakon,4,Public Utilities Commissioner,,DEM,Wayne Frederick,11
Haakon,16,Public Utilities Commissioner,,DEM,Wayne Frederick,23
Haakon,17,Public Utilities Commissioner,,DEM,Wayne Frederick,24
Haakon,19,Public Utilities Commissioner,,DEM,Wayne Frederick,26
Haakon,20,Public Utilities Commissioner,,DEM,Wayne Frederick,14
Haakon,1,State Senate,27,REP,Bill Hines,85
Haakon,4,State Senate,27,REP,Bill Hines,119
Haakon,16,State Senate,27,REP,Bill Hines,159
Haakon,17,State Senate,27,REP,Bill Hines,150
Haakon,19,State Senate,27,REP,Bill Hines,164
Haakon,20,State Senate,27,REP,Bill Hines,156
Haakon,1,State Senate,27,DEM,Red Dawn Foster,4
Haakon,4,State Senate,27,DEM,Red Dawn Foster,6
Haakon,16,State Senate,27,DEM,Red Dawn Foster,18
Haakon,17,State Senate,27,DEM,Red Dawn Foster,16
Haakon,19,State Senate,27,DEM,Red Dawn Foster,21
Haakon,20,State Senate,27,DEM,Red Dawn Foster,10
Haakon,1,State House,27,REP,Steve Livermont,79
Haakon,4,State House,27,REP,Steve Livermont,118
Haakon,16,State House,27,REP,Steve Livermont,165
Haakon,17,State House,27,REP,Steve Livermont,158
Haakon,19,State House,27,REP,Steve Livermont,161
Haakon,20,State House,27,REP,Steve Livermont,144
Haakon,1,State House,27,REP,Elizabeth May,73
Haakon,4,State House,27,REP,Elizabeth May,112
Haakon,16,State House,27,REP,Elizabeth May,143
Haakon,17,State House,27,REP,Elizabeth May,137
Haakon,19,State House,27,REP,Elizabeth May,151
Haakon,20,State House,27,REP,Elizabeth May,133
Haakon,1,State House,27,DEM,Margaret Moss,6
Haakon,4,State House,27,DEM,Margaret Moss,7
Haakon,16,State House,27,DEM,Margaret Moss,15
Haakon,17,State House,27,DEM,Margaret Moss,16
Haakon,19,State House,27,DEM,Margaret Moss,26
Haakon,20,State House,27,DEM,Margaret Moss,12
Haakon,1,State House,27,DEM,Peri Pourier,5
Haakon,4,State House,27,DEM,Peri Pourier,4
Haakon,16,State House,27,DEM,Peri Pourier,12
Haakon,17,State House,27,DEM,Peri Pourier,9
Haakon,19,State House,27,DEM,Peri Pourier,12
Haakon,20,State House,27,DEM,Peri Pourier,7
