votes,district,candidate,office,county,party,precinct
Hanson,4,State House,19,REP,Kent Peterson,177
Hanson,5,State House,19,REP,Kent Peterson,67
Hanson,1,State House,19,REP,Kyle Schoenfish,351
Hanson,2,State House,19,REP,Kyle Schoenfish,205
Hanson,3,State House,19,REP,Kyle Schoenfish,140
Hanson,4,State House,19,REP,Kyle Schoenfish,171
Hanson,5,State House,19,REP,Kyle Schoenfish,72
Hanson,1,State House,19,DEM,John C. Koch,157
Hanson,2,State House,19,DEM,John C. Koch,94
Hanson,3,State House,19,DEM,John C. Koch,48
Hanson,4,State House,19,DEM,John C. Koch,36
Hanson,5,State House,19,DEM,John C. Koch,21
Hanson,1,State House,19,IND,Alison Bowers,87
Hanson,2,State House,19,IND,Alison Bowers,71
Hanson,3,State House,19,IND,Alison Bowers,46
Hanson,4,State House,19,IND,Alison Bowers,28
Hanson,5,State House,19,IND,Alison Bowers,10
Hanson,1,State House,19,IND,Roger Hofer,42
Hanson,2,State House,19,IND,Roger Hofer,49
Hanson,3,State House,19,IND,Roger Hofer,58
Hanson,4,State House,19,IND,Roger Hofer,36
Hanson,5,State House,19,IND,Roger Hofer,17
